phase,video_path,condition,expected_person_id,notes
test,E:\Person-Re-Identification\Test-daten\Default\Tim_Allaround_Ohne_Details_Weises_Tshirt_Schwarze_hose.mp4,Default,,
test,E:\Person-Re-Identification\Test-daten\Default\Tim_Herumlaufend_Ohne_Details_Weises_Tshirt_Schwarze_hose_Wiedererkennung.mp4,Default,,
test,E:\Person-Re-Identification\Test-daten\Default\Tim_hinten_nach_vorne_Ohne_Details_Weises_Tshirt_Schwarze_hose.mp4,Default,,
test,E:\Person-Re-Identification\Test-daten\Default\Tim_links_nach_rechts_Ohne_Details_Weises_Tshirt_Schwarze_hose.mp4,Default,,
test,E:\Person-Re-Identification\Test-daten\Default\Tim_rechts_nach_links_Ohne_Details_Weises_Tshirt_Schwarze_hose.mp4,Default,,
test,E:\Person-Re-Identification\Test-daten\Default\Tim_Vorne_nach_hinten_Ohne_Details_Weises_Tshirt_Schwarze_hose.mp4,Default,,
test,E:\Person-Re-Identification\Test-daten\GelbesTshirt\Tim_hinten_nach_vorne_Ohne_Details_Gelbes_Tshirt_Schwarze_hose.mp4,GelbesTshirt,,
test,E:\Person-Re-Identification\Test-daten\GelbesTshirt\Tim_links_nach_rechts_Ohne_Details_Gelbes_Tshirt_Schwarze_hose.mp4,GelbesTshirt,,
test,E:\Person-Re-Identification\Test-daten\GelbesTshirt\Tim_Vorne_nach_hinten_Ohne_Details_gelbes_Tshirt_Schwarze_hose.mp4,GelbesTshirt,,
test,E:\Person-Re-Identification\Test-daten\MitBrille\Tim_Herumlaufend_mit_Details_Weises_Tshirt_Schwarze_hose_brille.mp4,MitBrille,,
test,E:\Person-Re-Identification\Test-daten\MitBrille\Tim_links_nach_rechts_mit_Details_Weises_Tshirt_Schwarze_hose_Brille.mp4,MitBrille,,
test,E:\Person-Re-Identification\Test-daten\GelbTshirtUndBrille\Tim_links_nach_rechts_mit_Details_Gelbes_Tshirt_Schwarze_hose.mp4,GelbTshirtUndBrille,,
test,E:\Person-Re-Identification\Test-daten\GelbTshirtUndBrille\Tim_links_nach_rechts_und_zurück_mit_Details_Gelbes_Tshirt_Schwarze_hose_brille.mp4,GelbTshirtUndBrille,,
test,E:\Person-Re-Identification\Test-daten\GelbTshirtUndBrille\Tim_vorne_nach_hintenrechts_mit_Details_Gelbes_Tshirt_Schwarze_hose_brille.mp4,GelbTshirtUndBrille,,
